country name;country code;metric;metric code;year;value
Botswana;BWA;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Botswana;BWA;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Botswana;BWA;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;13483861047.4972
Brazil;BRA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;6149.86788957152
Brazil;BRA;Gini index;SI.POV.GINI;1990;60.4
Brazil;BRA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Brazil;BRA;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;1.52131954396614
Brazil;BRA;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;49.8
Brazil;BRA;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Brazil;BRA;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Brazil;BRA;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Brazil;BRA;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;1835242675417.13
British Virgin Islands;VGB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;
British Virgin Islands;VGB;Gini index;SI.POV.GINI;1990;
British Virgin Islands;VGB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
British Virgin Islands;VGB;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;1.16530820173204
British Virgin Islands;VGB;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;1.3
British Virgin Islands;VGB;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
British Virgin Islands;VGB;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
British Virgin Islands;VGB;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
British Virgin Islands;VGB;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Brunei Darussalam;BRN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;44179.8276912649
Brunei Darussalam;BRN;Gini index;SI.POV.GINI;1990;
Brunei Darussalam;BRN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
